Código;Nombre;Dirección;C.P.;Municipio;Pedanía;Teléfono;Fax;Email;URL Real;URL Corta;Latitud;Longitud;Descripción;Foto 1;Foto 2;Foto 3;Foto 4;Foto 5;Foto 6;Foto 7;Foto 8;Foto 9;Foto 10;Foto 11;Foto 12;Foto 13;Foto 14
129;Aquarium;C/ Cartagena (Antiguo Cuartel de Artillería);;Murcia;MURCIA;868 88 85 63;;;www.aquarium.um.es;;4205313;663972;Ubicado en uno de los pabellones del antiguo Cuartel de Artillería, el Acuario de la Universidad de Murcia pretende facilitar el acercamiento del público en general al medio marino. Además el Aquarium supone una útil fuente de aprendizaje, gracias a la utilización de la <b>gran cantidad de recursos didácticos</b> de que dispone. <br><br>Consta de dos plantas en las que se podrá disfrutar de un recorrido por los más característicos ecosistemas marinos tanto tropicales como mediterráneos. <br><br>En los acuarios tropicales se representan con todo detalle ecosistemas del Mar Rojo, Océano Índico, Océano Pacífico y Mar Caribe. En ellos se podrá observar multitud de organismos de estos hábitats como <b>tiburones de arrecife, peces ángel, rayas, morenas, corales vivos, etc., </b>así como las relaciones existentes entre ellos. <br><br>En la zona Mediterránea se podrá conocer de cerca una parte de nuestro entorno marino más próximo en tanques que representan ambientes desde zonas superficiales con anémonas, salpas, julias, lenguados, etc., hasta zonas más profundas con tiburones de fondo, pintarrojas, etc. En estos tanques se puede observar hasta los mecanismos de reproducción de estos tiburones y las distintas fases de su desarrollo embrionario. <br><br>;;;;;;;;;;;;;;
132;ARQUA Museo Nacional de Arqueología Subacuática;Paseo Alfonso XII, 22;30201;Cartagena;CARTAGENA;968 121 166;968 529 692;informacion.arqua@mcu.es;http://museoarqua.mcu.es;;4163306;678375;<p>El <strong>Museo Nacional de Arqueolog&iacute,a Subacu&aacute,tica (ARQUA)</strong> es la instituci&oacute,n responsable del estudio, valoraci&oacute,n, investigaci&oacute,n, conservaci&oacute,n, difusi&oacute,n y protecci&oacute,n del Patrimonio Cultural Subacu&aacute,tico espa&ntilde,ol y sede del <em>Observatorio Permanente del Plan Nacional de Protecci&oacute,n del Patrimonio Arqueol&oacute,gico Subacu&aacute,tico</em>.</p><p>Estas tareas las realiza en colaboraci&oacute,n con las distintas administraciones auton&oacute,micas y sus centros de investigaci&oacute,n, y en cooperaci&oacute,n, con los Estados Parte, firmantes de la Convenci&oacute,n de la UNESCO.</p><p>Adem&aacute,s, el ARQUA, se ha hecho cargo recientemente de la custodia del &#39,tesoro del Odyssey&#39,. La colecci&oacute,n de la fragata Nuestra Se&ntilde,ora de las Mercedes, que consta de m&aacute,s de 570.000 monedas de oro y plata de finales del siglo XVIII y principios del XIX.&nbsp,</p><p><strong>Servicios:</strong> Informaci&oacute,n / Taquilla, Consigna, Visitas guiadas, Taller did&aacute,ctico, Biblioteca, Reprograf&iacute,a, Fotograf&iacute,a, Colecci&oacute,n visitable, Ascensores, Silla de ruedas, Aseos adaptados, Signo gu&iacute,as, Aparcamiento adaptado, Aparcamiento, Cafeter&iacute,a-Restaurante, Tienda, Botiqu&iacute,n, Servicio de seguridad.</p><p><strong>Horario:</strong><br />Martes a s&aacute,bados de 10.00 a 21.00. Domingos y festivos de 10.00 a 15.00 h<br /><br />La venta de entradas finaliza 15 minutos antes de la hora de cierre de la exposici&oacute,n.<br /><br />El museo permanece cerrado:<br />Todos los lunes del a&ntilde,o<br />1 y 6 de enero<br />1 de mayo<br />24, 25 y 31 diciembre<br />1 fiesta local<br /><br /><strong>Reservas:</strong><br /><a href='mailto:reservas.arqua@mcu.es'>reservas.arqua@mcu.es</a></p>;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00000720081_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00000720083_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00000720084_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00000720085_g.jpg;;;;;;;;;;
110;Casa - Museo Don Pepe Marsilla, Bullas 1900;C/ Rosario, 1;30180;Bullas;BULLAS;968 657 211;;casamuseodonpepe@bullas.es;http://rvbullas.es/rutadelvino/portfolio/casa-museo-don-pepe-marsilla/;;-1.669867;38.049716;Visitar la Casa-Museo Don Pepe Marsilla es una manera interesante de conocer cómo era la vida en Bullas a finales del s. XIX y principios del XX, pudiendo enmarcarse dicha visita dentro de la Ruta del Vino de Bullas o de forma aislada, según su horario, y previa reserva en el Museo del Vino.<br><br>Dentro de la visita se puede diferenciar: <br><br><strong>La zona residencial</strong> donde se muestra el  modo de vida de la clase señorial en los albores del siglo XX (biblioteca, sala de estar, comedor  principal y dormitorios). <br><br><strong>La zona de labor, </strong> en cuya bodega se manifiesta la importante actividad económica que generaba en la Bullas de esta época. En ella tenían lugar muchos de los trabajos propios del procesado de la uva procedente de las extensas propiedades de la familia repartidas por la comarca. Se puede apreciar el espacio dedicado a la producción de vino con destino a la venta y el reservado para guardar los caldos más selectos de consumo particular. En total se conservan 57 tinajas con una capacidad superior a los 140.000 litros de vino. <br><br>Además se puede visitar el Aula de Arqueologia. <br><br>;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-110-1_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00000220073_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00000220074_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00000220076_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00000220077_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00000220078_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00000220079_g.jpg;;;;;;;
95;Casa Museo Antonio Campillo;C/ Clavijo, 1;30562;Ceutí;CEUTI;968 692 540;968 691 373;;www.ceuti.es;;4216172;651825;En la peatonalizada zona histórica de Ceutí, dentro de uno de los pocos edificios nobles del siglo XIX que se conservan en el pueblo, se encuentra el museo 'Antonio Campillo': Una colección única donde el visitante podrá conocer toda la trayectoria profesional del artista, descubrir los motivos que le obsesionaban (los caballos, la mujer, maternidad, las ciclistas), contemplar barros, bronces, escayolas, bustos, miniaturas, dibujos, bocetos... Todo el universo simbólico creado por Campillo, lo más representativo de su amplia obra y sin duda, la obra más completa que existe del mismo.<br><br>Visitar el museo es adentrarse en el mundo de Antonio Campillo, en sus temas recurrentes, en la insinuación que supone cada una de sus obras. Las salas están cargadas de belleza, de curvas sugerentes que invitan al visitante a perfilar la obra, a darle la expresión que desee, en su acto de complicidad con el artista. Así, cada pieza es permanentemente diferente, porque acaba de fraguarse en los ojos de cada visitante: no es un museo, si no muchos museos... tantos como personas lo visiten.;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/mcampilloin_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/mcampillomujer_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/mcampillo2in_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/mcampillofront_g.jpg;;;;;;;;;;
91;Casa Museo de la Semana Santa;C/ Cánovas del Castillo, s/n;30530;Cieza;CIEZA;968 453 500;;;;;4233551;637783;Edificada en 1970, alberga en su interior una parte importante del patrimonio de las Cofradias de la Semana Santa de Cieza: imagenes, tronos, estandartes, faroles, báculos, vestuario, etc. La planta inferior esta dedicada íntegramente a los pasos que desfilan en nuestras procesiones. En la planta superior se distribuyen las dependencias de las distintas cofradías y de la propia Junta de Hermandades, así como la Sala de Juntas y Exposiciones, en la que pueden contemplarse enseres y documentación gráfica y escrita de carácter histórico, referente todo ello a la Semana Santa ciezana.;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00001920031_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00001920032_g.jpg;;;;;;;;;;;;
5768;Casa Museo Miguel Hernández;C/ Miguel Hernández, 73;03300;Orihuela;;965 30 63 27;;;http://www.orihuelaturistica.es;;-0.942197;38.089166;<p>El poeta Miguel Hern&aacute,ndez vivi&oacute, en esta casa con sus padres y hermanos desde 1914 hasta 1934. A&ntilde,os despu&eacute,s, concretamente en 1981, el Ayuntamiento de Orihuela la adquiri&oacute, y restaur&oacute,. La reapertura al p&uacute,blico fue solo cuatro a&ntilde,os m&aacute,s tarde, en 1985.<br />Esta vivienda, t&iacute,pica de principios del siglo XX, ofrece al visitante todos los detalles necesarios para hacerse una idea de c&oacute,mo de sencilla era la vida de Miguel Hern&aacute,ndez. Se trata de una casa con una explotaci&oacute,n ganadera y que, como es habitual, se ha de adaptar al terreno sobre el que se construy&oacute,.<br />El que fue el hogar de Miguel Hern&aacute,ndez era bastante grande, como ver&aacute,s cuando accedas a &eacute,l. Consta de comedor, salita, habitaci&oacute,n de los padres, habitaci&oacute,n de las hermanas (Encarna y Elvira) habitaci&oacute,n de Miguel y de su hermano Vicente y la cocina. El museo conserva todas estas partes, as&iacute, como el ajuar t&iacute,pico de la &eacute,poca y diversas fotos del poeta con su familia.</p>;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-5768-1_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-5768-2_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-5768-3_g.jpg;;;;;;;;;;;
4799;Casa-Museo de los Caballos del Vino;C/ Gregorio Javier, 21;30400;Caravaca de la Cruz;; 968 70 56 20 (Reservas) / 868 18 50 96 (Museo);;reservas@caravacadelacruz.es;www.turismocaravaca.com;;-1.862361;38.107778;<p>Una vivienda del siglo XVIII totalmente rehabilitada. Eso es lo que es esta casa donde residi&oacute, la familia Muso Mu&ntilde,oz Melgarejo. Est&aacute, totalmente rehabilitada, se encuentra ubicada en este espacio dedicado a los Caballos del Vino.<br />A trav&eacute,s de diversas salas y audiovisuales se transmite y difunde lo que son las ra&iacute,ces y el presente de un festejo que en la actualidad es candidato a Patrimonio Cultural Inmaterial de la Humanidad.</p>;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-4799-1_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-4799-2_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-4799-3_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-4799-4_g.jpg;;;;;;;;;;
4832;Casa-Museo del Belén;Calle Olivo esquina con Travesía Torre 2, s/n,;30006;Murcia;PUENTE TOCINOS;968 30 11 26;;casadelbelen@ayto-murcia.es;;;-1.100391;37.992000;No hay que irse muy lejos para disfrutar del Belén de Puente Tocinos. Su casa-museo se ubica en la Casa Torre del pueblo, más conocida como la del Reloj.  A través de este edificio se promociona y difunde la artesanía del Belén con obras y artistas locales pero de gran prestigio nacional. Cabe destacar que Puente Tocinos siempre ha sido conocida por su tradición belenística. <br><br><strong>ÉPOCA:</strong> Casa del siglo XVIII. Museo del siglo XXI.<strong><br>ESTILO:</strong> Arquitectura popular.<br><br>Foto realizada por: José Luis Montero;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/MUSEOS_1_4832_1_g.jpg;;;;;;;;;;;;;
71;Centro de Documentación y Exposición de Cabo de Palos;Cabo de Palos. Junto Iglesia;70287;La Manga del Mar Menor;;968 145 309;;;;;;;<p><strong>Un encuentro con la naturaleza y el mundo submarino de la Regi&oacute,n </strong><br /><br />Descubre el mundo submarino de la Regi&oacute,n de Murcia, la extraordinaria diversidad de sus fondos marinos, la historia de los grandes naufragios de Cabo de Palos, la formaci&oacute,n del Mar Menor y la reproducci&oacute,n de los caballitos de mar en su acuario.<br /><br />El Centro est&aacute, situado junto al puerto, punto de partida de la Reserva Marina de las Islas Hormigas y muestra la diversidad y riqueza del litoral de Murcia y, en especial, de Cabo de Palos, uno de los enclaves oceanogr&aacute,ficos m&aacute,s extraordinarios del Mediterr&aacute,neo.<br /><br />Los visitantes disfrutan de un paseo visual por la extraordinaria naturaleza de la Regi&oacute,n con ayuda de cinco &aacute,reas tem&aacute,ticas y una gran maqueta que permite contemplar en detalle toda la geograf&iacute,a de la Comunidad Aut&oacute,noma de Murcia.<br /><br />La historia de los grandes naufragios de Cabo de Palos, como el c&eacute,lebre Sirio, la formaci&oacute,n de la Manga y los caballitos de mar en el acuario son otros de los atractivos de la visita que se completa con la proyecci&oacute,n del v&iacute,deo &quot,Cabo de Palos un mar de vida&quot, .<br />&nbsp,</p>;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-71-1_g.jpg;;;;;;;;;;;;;
111;Centro de Interpretación del Arte Rupestre Casa de Cristo;Ctra de San Juan, km 7. Casa de Cristo;30440;Moratalla;MORATALLA;968 735 987;;;www.arterupestremoratalla.com;;4226326;594442;<p>El Centro de Interpretaci&oacute,n de Arte Rupestre es un espacio interpretativo que forma parte de la Red de Museos de Murcia.<br /><br />Tiene por finalidad difundir el arte rupestre prehist&oacute,rico de la Regi&oacute,n de Murcia.<br /><br />Presenta una muestra did&aacute,ctica y moderna apoyada en recursos gr&aacute,ficos tradicionales y de las &uacute,ltimas tecnolog&iacute,as. Por ello su visita resulta indispensable en la Ruta del Arte Rupestre de Murcia.<br /><br />El Centro Regional de Interpretaci&oacute,n de Arte Rupestre Casa de Cristo, est&aacute, situado en un paraje de gran significaci&oacute,n hist&oacute,rica de Moratalla, nace como un referente t&eacute,cnico para la investigaci&oacute,n, estudio y conservaci&oacute,n de este legado patrimonial. Tambi&eacute,n para ser un referente social desde el que promover la educaci&oacute,n y sensibilizaci&oacute,n ciudadana. Y, contribuir a la dinamizaci&oacute,n tur&iacute,stica y socioecon&oacute,mica de La Regi&oacute,n Murciana.</p>;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00000120071_g.jpg;;;;;;;;;;;;;
4784;CENTRO DE INTERPRETACIÓN DEL FOLKLORE;C/ Empredrá, 9;30530;Cieza;;658 641 101;;info@centrodefolklore.com;http://www.centrodefolklore.com;http://www.centrodefolklore.com;;;Diseñado con vocación interpretativa y didáctica. El Centro de Interpretación del Folklore muestra una singular exposición sobre las tradiciones y modos de vida de la región, que han ido perdiéndose paulatinamente a causa de la modernización y la industrialización.<br><br>Sus dos salas albergan los aspectos más destacados de la cultura tradicional en la Región de Murcia. Las manifestaciones folklóricas tradicionales (música, canto, danza y vestuario) constituyen el hilo conductor de la primera sala del Centro mientras que la sala interior, más espaciosa, queda destinada a la representación de las costumbre rurales, oficios perdidos y vida tradicional en la huerta, a través de la recreación de una vivienda tradicional, con enseres y mobiliarios originales, así como la representación de viejos oficios que antaño formaban parte del día a día en la vida de los huertanos murcianos de los siglos XVIII y XIX.;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/CENTROS-INTERPRETACION_1_4784_1_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/CENTROS-INTERPRETACION_1_4784_2_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/CENTROS-INTERPRETACION_1_4784_3_g.jpg;;;;;;;;;;;
72;Centro de Visitantes;C/ Puerta de San Ginés, s/n;30800;Lorca;LORCA;968 479 003;;info@lorcatallerdeltiempo.com;www.lorcatallerdeltiempo.com;;-1.696780;37.679739;<p>&gt,&gt, <a class='enlaces' href='http://www.murciaturistica.es/PORTAL-2002/documentos/IYADOC13082012.pdf' target='_blank'><strong>Consultar ficha de accesibilidad</strong></a> (PDF 2.21 MB)</p><p>De origen medieval, se conserva la portada de acceso renacentista (1546) donde son visibles los escudos de la Orden de la Merced, el del Concejo y el de Garc&iacute,a de Alcaraz. El claustro del siglo XVIII con la desamortizaci&oacute,n de 1835 pas&oacute, a ser propiedad particular.</p><p>El nuevo edificio alberga actualmente la gerencia de urbanismo y el Centro de Visitantes de Lorca Taller del Tiempo, donde se puede visitar una interesante exposici&oacute,n interactiva sobre la historia de la ciudad.</p>;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/12008i1_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/12008i2_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00000120083_g.jpg;;;;;;;;;;;
42;Centro Etnográfico Casa del Cura;Casa del Cura;30890;Puerto Lumbreras;PUERTO LUMBRERAS;968 436 153 / 652 902 282;;;www.puertolumbreras.es;;-1.8032937;37.5653992;<br><br>Este espacio museístico se ubica en la Casa del Cura y ofrece exposiciones permanentes sobre las <b>tradiciones agrícolas y ganaderas</b> del municipio a lo largo de su historia. <br><br>El edificio que lo alberga se encuentra en la emblemática finca conocida como la <b>Casa del Cura</b>, que data del siglo XIX, la cual ha experimentado una rehabilitación integral.<br><br>Este nuevo centro también cuenta con un <b>espacio audiovisual y multimedia</b en el que se pueden visionar documentales y trabajos multimedia sobre la historia de las tradiciones locales relacionadas con la agricultura y la ganadería.<br><br> Además, el Centro muestra <b>herramientas antiguas</b>, así como enseres típicos relacionados con el sector agrícola y ganadero. <br><br>Este centro se ha construido en una edificación anexa a la Casa del Cura, donde antiguamente se guardaban los aperos de labranza. <br><br>;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/MUSEOS_1_42_1_g.jpg;;;;;;;;;;;;;
20;Centro Internacional de Estudios de la Vera Cruz de Caravaca;C/ Las Monjas, 9;30400;Caravaca de la Cruz;CARAVACA DE LA CRUZ;968 705 942;968 705 199;informacion@caravacajubilar.net;http://www.caravaca.org;;4218791;599942;Una de sus labores es la organizacion de ciclos de conferencias de temática variada, entre las que sobresalen las dirigidas a <b>investigaciones sobre la Stma. y Vera Cruz de Caravaca</b>.<br><br>Palacio de arquitectura castellana construido en el primer cuarto del siglo XVII por D. Francisco Museo Muñoz de Otálora y doña Catalina López Muñoz, su mujer, cuyos escudos heráldicos adornan la portada de piedra labrada. El edificio de dos cuerpos y sótano para las antiguas bodegas, ha sufrido algunas alteraciones a lo largo del tiempo. Originalmente, estaba compuesto de tres crujías de habitación precedidas de una galería de orden toscazo en torno a un patio central cuadrado. Durante los siglos XVIII y XIX fue heredado por los condes de Clavijo y marqueses del Salar a raíz de alianzas matrimoniales y particiones de herencia.;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00000520031_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00000520032_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00000520033_g.jpg;;;;;;;;;;;
